"AUT","BEL","CAN","CHE","CHL","DEU","DNK","ESP","FIN","FRA","GBR","GRC","HUN","ISL","ISR","ITA","JPN","KOR","LUX","MEX","NLD","NOR","POL","PRT","SWE","TUR","USA"
58.3,60.2,60.6,75.5,22.8,62.2,60.8,47.4,64.4,66.4,52.4,26.7,7.4,32.6,28.1,50.5,89.7,39,58.7,8.9,58.2,58.6,4.3,42.2,63.3,0,53.8
58.7,60.3,61,75.8,22.9,62.5,61,47.7,64.7,66.6,52.9,26.8,7.7,33.1,28.3,50.9,89.8,39.2,58.6,9.1,58.4,58.8,5.3,43.2,63.5,0,54
58.7,60.5,61.2,76,23.4,62.5,61.2,47.9,64.9,66.7,53.1,27.6,7.9,33.4,28.6,51.1,90.1,39.6,58.6,9.2,58.6,59.5,5.5,43.4,65.3,0,54.3
58.9,60.7,61.2,76.2,23.8,62.6,61.2,48,65.3,67.1,54.4,28.1,8.1,33.5,29.4,51.3,90.9,40.1,58.7,9.4,58.8,59.5,5.9,43.9,65.5,0,54.4
58.9,60.8,61.5,76.6,24.2,62.8,61.7,48,65.5,67.2,55,29,8.1,33.8,29.8,51.5,91.3,40.5,58.8,9.5,58.9,59.6,6.2,44.4,65.9,0,54.5
59.1,60.8,61.8,76.7,24.7,62.8,61.5,48.1,65.8,67.2,55.2,29.8,8.1,34,30,51.7,91,40.7,58.8,9.7,58.8,59.8,6.4,44.5,65.8,0,54.8
59.8,61,62,76.7,25.1,62.8,61.3,48.8,65.8,67.2,55.2,29.6,8.3,34.2,30.5,51.9,90.8,40.9,58.9,9.9,59.1,59.9,6.6,44.8,66.4,0,55
60.1,61.4,62.1,77.5,25.6,63,61.9,49,66.1,67.6,55.7,29.8,8.5,34.3,31.1,52.2,91.1,41,59.1,10.1,59.2,59.8,6.8,45.4,66.9,0,55.5
60,61.9,62.3,77.9,26.9,63.2,62.5,49.5,66.5,68.1,56.2,31,8.7,34.3,31.7,52.5,91.8,41.3,59.5,10.2,59.7,60.4,7,45.8,67.7,0.1,56
60.1,62.3,62.8,78.4,27.9,63.7,62.6,50,66.8,68.4,56.7,31.7,8.8,34.4,32.3,52.9,92.8,41.4,60.2,10.4,59.9,60.9,7.5,46.3,68.1,0.1,56.3
59.9,62.1,63.2,79.1,28.2,63.5,62.5,49.9,66.7,68.3,56.9,32.1,8.9,34.6,32.8,53.2,92.7,41.4,60.4,10.7,59.9,60.9,7.8,46.6,68.3,0.1,56.5
59.9,62,63.1,79.1,28.3,63.6,62.4,50,66.7,68.3,57,32.7,9,34.7,32.9,53.4,92.6,41.7,60.4,11,59.7,60.7,8.3,47,68.3,0.1,56.5
60.2,62.5,64.8,79.7,28.4,64,62.4,50.6,67.7,68.6,57,32.7,9.9,34.9,33.3,53.7,93.3,42.6,60.4,11.3,59.8,61,9.4,48,69.9,0.1,56.8
60.6,62.7,64.8,80.5,28.5,64.3,62.5,50.5,68,68.8,57.2,32.7,10.3,35.1,33.4,54.1,92.9,43.1,60.5,11.5,59.9,61.2,10,48.8,71.8,0.1,56.9
60.8,62.5,65,80.5,28.8,64.3,62.6,50.7,68.2,69,57.5,33.4,10.6,35.1,33.8,54.4,93.5,43.7,60.6,11.6,60.3,61.6,10.4,49.1,72.1,0.1,57
